acquisition_campaignID,NPU_Count,First_GMV,Avg_First_Amount,Median_First_Amount,Total_First_Discount,Avg_First_Discount,Dominant_First_Category,Dominant_Promotion_Type,First_month_min,First_month_max,First_Subsidy_Rate
8292,4,653000,163250.0,151500.0,80000,20000.0,Daily_Consumption,direct discount,2022-06-15 17:39:03.054,2022-06-29 22:55:26.122,0.1225114854517611
8300,1260,1266076211,1004822.3896825397,574309.0,37800000,30000.0,Obligation_Payment,voucher,2022-06-02 20:26:19.432,2022-11-24 15:05:59.811,0.02985602262453378
8301,7,12940300,1848614.2857142857,540000.0,140000,20000.0,Obligation_Payment,voucher,2022-07-28 12:57:28.349,2022-12-13 22:44:42.244,0.010818914553758413
8309,73,4620280,63291.50684931507,19100.0,1095000,15000.0,Goods_Transaction,direct discount,2022-06-02 09:57:04.762,2022-06-30 21:22:14.751,0.23699862346005005
8324,4,1188000,297000.0,201000.0,100000,25000.0,Unknown_Group,direct discount,2022-06-01 10:28:53.699,2022-06-01 16:29:35.125,0.08417508417508418
8356,2,185000,92500.0,92500.0,20000,10000.0,Daily_Consumption,direct discount,2022-07-21 12:29:52.731,2022-08-20 13:53:00.091,0.10810810810810811
8359,1,134000,134000.0,134000.0,15000,15000.0,Daily_Consumption,direct discount,2022-08-13 11:09:42.767,2022-08-13 11:09:42.767,0.11194029850746269
8384,25,5248301,209932.04,148500.0,750000,30000.0,Goods_Transaction,direct discount,2022-06-04 10:57:54.133,2022-07-29 08:48:13.891,0.14290338911583006
8386,1944,42670182,21949.682098765432,10000.0,17496000,9000.0,Access_Service,voucher,2022-06-03 16:04:43.737,2022-07-02 23:39:25.491,0.4100287174776991
8388,6,320000,53333.333333333336,40000.0,60000,10000.0,Access_Service,voucher,2022-06-10 21:59:28.854,2022-06-30 19:27:10.048,0.1875
8409,451,87869805,194833.27050997782,100000.0,11275000,25000.0,OnDemand_Service,voucher,2022-06-10 10:33:01.369,2022-07-02 18:08:27.985,0.12831484034817192
8412,14,4624400,330314.28571428574,358900.0,700000,50000.0,Goods_Transaction,direct discount,2022-06-17 22:17:22.779,2022-06-20 14:34:32.700,0.15137098866880028
8417,2,53018,26509.0,26509.0,10000,5000.0,Daily_Consumption,voucher,2022-06-19 20:18:54.423,2022-06-27 19:08:24.659,0.18861518729488097
8447,4,40000,10000.0,10000.0,20000,5000.0,Access_Service,voucher,2022-07-01 18:44:05.913,2022-07-13 19:27:40.424,0.5
8464,5,2781940,556388.0,445740.0,100000,20000.0,Goods_Transaction,voucher,2022-07-17 14:19:33.175,2022-07-31 13:46:45.952,0.03594613830636175
8466,2,173000,86500.0,86500.0,50000,25000.0,Interactive_Service,voucher,2022-06-25 21:25:40.353,2022-06-30 22:15:11.093,0.28901734104046245
8485,1,68000,68000.0,68000.0,30000,30000.0,Daily_Consumption,voucher,2022-07-13 14:20:31.312,2022-07-13 14:20:31.312,0.4411764705882353
8495,11,1473700,133972.72727272726,107000.0,165000,15000.0,Goods_Transaction,voucher,2022-07-01 18:52:28.514,2022-07-30 20:49:47.922,0.11196308610979168
8500,196,4817900,24581.122448979593,20000.0,1960000,10000.0,Access_Service,voucher,2022-07-05 11:53:44.145,2022-08-30 22:20:16.755,0.4068162477427925
8501,31,2958896,95448.25806451614,56179.0,465000,15000.0,Obligation_Payment,voucher,2022-07-11 18:02:46.280,2022-08-18 21:52:07.481,0.15715320849397885
8504,1,100000,100000.0,100000.0,50000,50000.0,Unknown_Group,voucher,2022-08-14 14:56:07.776,2022-08-14 14:56:07.776,0.5
8507,1,250000,250000.0,250000.0,30000,30000.0,Goods_Transaction,voucher,2022-07-16 19:18:39.484,2022-07-16 19:18:39.484,0.12
8513,2,21700,10850.0,10850.0,10000,5000.0,Access_Service,voucher,2022-07-20 20:13:17.138,2022-08-16 20:13:08.826,0.4608294930875576
8532,29,400000,13793.103448275862,10000.0,58000,2000.0,Access_Service,voucher,2022-07-06 13:01:41.213,2022-09-01 13:41:11.403,0.145
8533,2,96049,48024.5,48024.5,20000,10000.0,Obligation_Payment,voucher,2022-07-25 16:52:15.376,2022-08-17 14:56:46.677,0.20822705077616632
