acquisition_campaignID,NPU_Count,Repeat_Rate,D7_Retention,D30_Retention,D60_Retention,Avg_Post_Tx,Avg_Post_GMV,Avg_Post_Discount,Post_Non_Promo_Tx_Share,Avg_Post_Category_Count,Avg_Post_Merchant_Count
8652,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8653,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8693,6.0,0.8333333333333334,0.5,0.6666666666666666,0.6666666666666666,29.833333333333332,2848166.6666666665,10000.0,0.9608938547486033,1.5,1.5
8695,194.0,0.711340206185567,0.36082474226804123,0.6030927835051546,0.6494845360824743,10.283505154639176,1008369.4793814434,23658.701030927834,0.8085213032581454,1.2938144329896908,1.9793814432989691
8696,367.0,0.7438692098092643,0.23433242506811988,0.5204359673024523,0.6321525885558583,8.6566757493188,991435.5885558584,10242.5068119891,0.8835379288637079,1.1907356948228882,1.7002724795640327
8697,2.0,0.5,0.5,0.5,0.5,50.0,21201087.0,7500.0,0.98,1.5,1.5
8699,1.0,1.0,0.0,0.0,1.0,18.0,9243349.0,45000.0,0.8333333333333334,3.0,5.0
8705,22.0,0.7727272727272727,0.45454545454545453,0.7272727272727273,0.7272727272727273,12.227272727272727,2178632.727272727,7317.727272727273,0.9330855018587361,1.5,1.7727272727272727
8717,4.0,0.75,0.5,0.5,0.5,4.0,333976.75,1250.0,0.9375,1.25,1.25
8721,408.0,0.8112745098039216,0.4534313725490196,0.6593137254901961,0.7475490196078431,13.884803921568627,1992518.443627451,12326.46568627451,0.9373345101500441,1.7034313725490196,2.1642156862745097
8723,6.0,0.8333333333333334,0.0,0.5,0.6666666666666666,14.666666666666666,1154581.0,15000.0,0.9318181818181818,1.8333333333333333,2.5
8724,1.0,1.0,1.0,1.0,1.0,23.0,1346981.0,395000.0,0.0,3.0,4.0
8726,2.0,0.5,0.5,0.5,0.5,2.0,270500.0,100000.0,0.0,0.5,0.5
8729,5.0,0.6,0.2,0.4,0.6,9.2,687097.0,88600.0,0.3695652173913043,1.6,2.6
8755,1.0,1.0,0.0,1.0,1.0,37.0,2979565.0,481000.0,0.05405405405405406,6.0,19.0
8801,2.0,1.0,1.0,1.0,1.0,9.5,385423.5,46500.0,0.3684210526315789,2.0,2.5
8808,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,605348.6666666666,28333.333333333332,0.16666666666666666,1.0,1.0
8810,2.0,0.5,0.0,0.0,0.0,0.5,1056442.0,0.0,1.0,0.5,0.5
8811,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,13.666666666666666,3190304.6666666665,60333.333333333336,0.7560975609756098,2.3333333333333335,2.6666666666666665
8830,1.0,1.0,1.0,1.0,1.0,13.0,9583260.0,40000.0,0.8461538461538461,5.0,7.0
8833,3.0,1.0,0.3333333333333333,1.0,1.0,12.333333333333334,3872297.6666666665,70000.0,0.6486486486486487,3.0,4.0
8836,62.0,0.8548387096774194,0.41935483870967744,0.7096774193548387,0.8064516129032258,8.387096774193548,1854961.7580645161,4225.4838709677415,0.9403846153846154,1.435483870967742,1.7903225806451613
8851,29.0,0.7931034482758621,0.10344827586206896,0.5862068965517241,0.7241379310344828,4.172413793103448,720886.9310344828,15862.068965517241,0.768595041322314,1.2413793103448276,1.5517241379310345
8859,1.0,1.0,0.0,0.0,1.0,4.0,21569949.0,40000.0,0.5,2.0,2.0
8862,152.0,0.868421052631579,0.23026315789473684,0.631578947368421,0.8092105263157895,6.131578947368421,1673178.1973684211,24374.736842105263,0.7027896995708155,1.5460526315789473,2.1907894736842106
8872,2.0,1.0,0.0,0.5,0.5,7.5,930433.0,44000.0,0.7333333333333333,2.5,2.5
